,JobTitle,Company,Location,PostDate,JobUrl
0,Data scientist,CAPGEMINI TECHNOLOGY SERVICES INDIA...,Mumbai City,"Premium
              

               1 day ago",https://www.shine.com//jobs/data-scientist-permanent/capgemini-technology-services-india-limited/12723604
1,Data Scientist Vacancy For Freshers Or Experience,AKSHITA INTERPRISES,Mumbai City,"Hot
              

               0 days ago",https://www.shine.com//jobs/data-scientist-vacancy-for-freshers-or-experience-permanent/akshita-interprises/12723037
2,Data Scientist,MNR Solutions Pvt Ltd,Mumbai City,1 week ago,https://www.shine.com//jobs/data-scientist-jobs-permanent/mnr-solutions-pvt-ltd/12709279
3,for  __Data Scientist  Mumbai,Morpheus Human Consulting Pvt Ltd,Mumbai City,2 weeks ago,https://www.shine.com//jobs/job-for-data-scientist-mumbai-permanent/morpheus-human-consulting-pvt-ltd/12701610
4,Required for _Data Scientist  Mumbai,Morpheus Human Consulting Pvt Ltd,Mumbai City,2 weeks ago,https://www.shine.com//jobs/required-for-data-scientist-mumbai-permanent/morpheus-human-consulting-pvt-ltd/12698957
5,Data Scientist Artificial Intelligence,IBM India Pvt. Limited,Navi Mumbai,"Premium
              

               1 week ago",https://www.shine.com//jobs/data-scientist-artificial-intelligence-permanent/ibm-india-pvt-limited/12704516
6,Hiring For Data Scientist,AKSHITA INTERPRISES,Navi Mumbai,2 weeks ago,https://www.shine.com//jobs/hiring-for-data-scientist-permanent/akshita-interprises/12698855
7,Data Scientist Lead,PFIZER LIMITED,Mumbai City,2 weeks ago,https://www.shine.com//jobs/data-scientist-lead-permanent/pfizer-limited/12702447
8,Senior Data Scientist,Nustar Technologies India Private L...,Mumbai City,2 weeks ago,https://www.shine.com//jobs/senior-data-scientist-permanent/nustar-technologies-india-private-limited/12695520
9,Data Scientist  Mumbai,Morpheus Human Consulting Pvt Ltd,Mumbai City,3 weeks ago,https://www.shine.com//jobs/data-scientist-mumbai-permanent/morpheus-human-consulting-pvt-ltd/12688359
10,Hire DATA SCIENTIST- MIS EXECUTIVE,H K Jewels  Private Limited,Mumbai City,3 weeks ago,https://www.shine.com//jobs/hire-data-scientist-mis-executive-permanent/h-k-jewels-private-limited/12682423
11,Data Scientist  MIS Executive,H K Jewels  Private Limited,Mumbai City,3 weeks ago,https://www.shine.com//jobs/data-scientist-mis-executive-permanent/h-k-jewels-private-limited/12681958
12,Need Data Scientist   MIS Executive,H K Jewels  Private Limited,Mumbai City,3 weeks ago,https://www.shine.com//jobs/need-data-scientist-mis-executive-permanent/h-k-jewels-private-limited/12681957
13,Need now for  Data Scientist - MIS Executive,H K Jewels  Private Limited,Mumbai City,3 weeks ago,https://www.shine.com//jobs/need-now-for-data-scientist-mis-executive-permanent/h-k-jewels-private-limited/12681919
14,need  Data Scientist   MIS Executive,H K Jewels  Private Limited,Mumbai City,3 weeks ago,https://www.shine.com//jobs/need-data-scientist-mis-executive-permanent/h-k-jewels-private-limited/12681916
15,Urgently Required Data Scientist - MIS Executive,H K Jewels  Private Limited,Mumbai City,3 weeks ago,https://www.shine.com//jobs/urgently-required-data-scientist-mis-executive-permanent/h-k-jewels-private-limited/12681915
16,Data Scientist Hiring Fresher and Experience,Kavya Staffing Solutions,Navi Mumbai,1 month ago,https://www.shine.com//jobs/data-scientist-hiring-fresher-and-experience-permanent/kavya-staffing-solutions/12673037
17,Data Scientist,QUISCON BIOTECH,Mumbai City,1 month ago,https://www.shine.com//jobs/data-scientist-permanent/quiscon-biotech/12670170
18,for  __Data Scientist  Mumbai,Morpheus Human Consulting Pvt Ltd,Mumbai City,2 weeks ago,https://www.shine.com//jobs/job-for-data-scientist-mumbai-permanent/morpheus-human-consulting-pvt-ltd/12701607
